datetime,datetime_str,00010_Maximum,00010_Maximum_cd,site_no,00010_Minimum,00010_Minimum_cd,00010_Mean,00010_Mean_cd,00060_Mean,00060_Mean_cd,63680_Maximum,63680_Maximum_cd,63680_Minimum,63680_Minimum_cd,63680_Mean,63680_Mean_cd,datetime
2009-01-19 00:00:00-05:00,2009-01-19 00:00:00,,,015765185,,,,,0.95,"A, e",,,,,,,2009-01-19 00:00:00-05:00
2009-01-20 00:00:00-05:00,2009-01-20 00:00:00,,,015765185,,,,,0.95,"A, e",,,,,,,2009-01-20 00:00:00-05:00
2009-01-21 00:00:00-05:00,2009-01-21 00:00:00,,,015765185,,,,,0.9,"A, e",,,,,,,2009-01-21 00:00:00-05:00
2009-01-22 00:00:00-05:00,2009-01-22 00:00:00,,,015765185,,,,,0.85,"A, e",,,,,,,2009-01-22 00:00:00-05:00
2009-01-23 00:00:00-05:00,2009-01-23 00:00:00,,,015765185,,,,,0.8,"A, e",,,,,,,2009-01-23 00:00:00-05:00
2009-01-24 00:00:00-05:00,2009-01-24 00:00:00,,,015765185,,,,,0.8,"A, e",,,,,,,2009-01-24 00:00:00-05:00
2009-01-25 00:00:00-05:00,2009-01-25 00:00:00,,,015765185,,,,,0.75,"A, e",,,,,,,2009-01-25 00:00:00-05:00
2009-01-26 00:00:00-05:00,2009-01-26 00:00:00,,,015765185,,,,,0.75,"A, e",,,,,,,2009-01-26 00:00:00-05:00
2009-01-27 00:00:00-05:00,2009-01-27 00:00:00,,,015765185,,,,,0.75,"A, e",,,,,,,2009-01-27 00:00:00-05:00
2009-01-28 00:00:00-05:00,2009-01-28 00:00:00,,,015765185,,,,,1.71,"A, e",,,,,,,2009-01-28 00:00:00-05:00
2009-01-29 00:00:00-05:00,2009-01-29 00:00:00,,,015765185,,,,,1.16,"A, e",,,,,,,2009-01-29 00:00:00-05:00
2009-01-30 00:00:00-05:00,2009-01-30 00:00:00,,,015765185,,,,,0.95,"A, e",,,,,,,2009-01-30 00:00:00-05:00
2009-01-31 00:00:00-05:00,2009-01-31 00:00:00,,,015765185,,,,,0.85,"A, e",,,,,,,2009-01-31 00:00:00-05:00
2009-02-01 00:00:00-05:00,2009-02-01 00:00:00,,,015765185,,,,,1.5,"A, e",,,,,,,2009-02-01 00:00:00-05:00
2009-02-02 00:00:00-05:00,2009-02-02 00:00:00,,,015765185,,,,,2.46,"A, e",,,,,,,2009-02-02 00:00:00-05:00
2009-02-03 00:00:00-05:00,2009-02-03 00:00:00,,,015765185,,,,,1.43,"A, e",,,,,,,2009-02-03 00:00:00-05:00
2009-02-04 00:00:00-05:00,2009-02-04 00:00:00,,,015765185,,,,,1.15,"A, e",,,,,,,2009-02-04 00:00:00-05:00
2009-02-05 00:00:00-05:00,2009-02-05 00:00:00,,,015765185,,,,,1.09,"A, e",,,,,,,2009-02-05 00:00:00-05:00
2009-02-06 00:00:00-05:00,2009-02-06 00:00:00,,,015765185,,,,,1.04,"A, e",,,,,,,2009-02-06 00:00:00-05:00
2009-02-07 00:00:00-05:00,2009-02-07 00:00:00,,,015765185,,,,,1.97,"A, e",,,,,,,2009-02-07 00:00:00-05:00
2009-02-08 00:00:00-05:00,2009-02-08 00:00:00,,,015765185,,,,,1.81,"A, e",,,,,,,2009-02-08 00:00:00-05:00
2009-02-09 00:00:00-05:00,2009-02-09 00:00:00,,,015765185,,,,,1.17,"A, e",,,,,,,2009-02-09 00:00:00-05:00
